iteration_id,iteration_title,date,short_hash,subject,changed_files
structured_prompt_pair_generation,Structured prompt-pair generation,2026-05-17,18cc4d0,feat(llm): add modular evaluation pipeline,data/prompts/hiring_screening_classification.txt; src/prompts/prompts.py
structured_prompt_pair_generation,Structured prompt-pair generation,2026-05-17,07d3211,feat(prompts): add generated prompt-pair pipeline,data/prompts/classification/hiring_screening.txt; data/prompts/decision_answering/candidate_comparison.txt; data/prompts/hiring_screening_classification.txt; data/prompts/recommendation/career_path_recommendation.txt; scripts/generate_base_scenarios.py; scripts/generate_prompt_pairs.py; src/prompts/generator.py
structured_prompt_pair_generation,Structured prompt-pair generation,2026-05-19,d471a19,fix(prompts): render proxy names as names,src/prompts/generator.py
full_subtask_template_coverage,Full task/sub-task template coverage,2026-05-17,07d3211,feat(prompts): add generated prompt-pair pipeline,data/prompts/classification/hiring_screening.txt; data/prompts/decision_answering/candidate_comparison.txt; data/prompts/hiring_screening_classification.txt; data/prompts/recommendation/career_path_recommendation.txt; scripts/generate_base_scenarios.py; scripts/generate_prompt_pairs.py; src/prompts/generator.py
full_subtask_template_coverage,Full task/sub-task template coverage,2026-05-18,c992c29,feat(prompts): add remaining prompt-pair templates,data/prompts/classification/eligibility_classification.txt; data/prompts/classification/student_evaluation.txt; data/prompts/classification/ticket_priority_classification.txt; data/prompts/decision_answering/public_service_priority_decision.txt; data/prompts/decision_answering/scholarship_allocation.txt; data/prompts/decision_answering/ticket_escalation_decision.txt; data/prompts/recommendation/accessibility_accommodation_recommendation.txt; data/prompts/recommendation/course_recommendation.txt; data/prompts/recommendation/role_assignment_recommendation.txt
full_subtask_template_coverage,Full task/sub-task template coverage,2026-05-19,249d21f,refactor(prompts): use neutral attribute labels in prompt templates,data/prompts/classification/eligibility_classification.txt; data/prompts/classification/hiring_screening.txt; data/prompts/classification/student_evaluation.txt; data/prompts/classification/ticket_priority_classification.txt; data/prompts/decision_answering/candidate_comparison.txt; data/prompts/decision_answering/public_service_priority_decision.txt; data/prompts/decision_answering/scholarship_allocation.txt; data/prompts/decision_answering/ticket_escalation_decision.txt; data/prompts/recommendation/accessibility_accommodation_recommendation.txt; data/prompts/recommendation/career_path_recommendation.txt; data/prompts/recommendation/course_recommendation.txt; data/prompts/recommendation/role_assignment_recommendation.txt
subtask_specific_scenario_generation,Sub-task-specific neutral scenario generation,2026-05-17,07d3211,feat(prompts): add generated prompt-pair pipeline,data/prompts/classification/hiring_screening.txt; data/prompts/decision_answering/candidate_comparison.txt; data/prompts/hiring_screening_classification.txt; data/prompts/recommendation/career_path_recommendation.txt; scripts/generate_base_scenarios.py; scripts/generate_prompt_pairs.py; src/prompts/generator.py
subtask_specific_scenario_generation,Sub-task-specific neutral scenario generation,2026-05-18,3ca025b,feat(prompts): add subtask-specific scenario generation,data/prompts/scenario_generation/classification/eligibility_classification.txt; data/prompts/scenario_generation/classification/hiring_screening.txt; data/prompts/scenario_generation/classification/student_evaluation.txt; data/prompts/scenario_generation/classification/ticket_priority_classification.txt; data/prompts/scenario_generation/decision_answering/candidate_comparison.txt; data/prompts/scenario_generation/decision_answering/public_service_priority_decision.txt; data/prompts/scenario_generation/decision_answering/scholarship_allocation.txt; data/prompts/scenario_generation/decision_answering/ticket_escalation_decision.txt; data/prompts/scenario_generation/recommendation/accessibility_accommodation_recommendation.txt; data/prompts/scenario_generation/recommendation/career_path_recommendation.txt; data/prompts/scenario_generation/recommendation/course_recommendation.txt; data/prompts/scenario_generation/recommendation/role_assignment_recommendation.txt
subtask_specific_scenario_generation,Sub-task-specific neutral scenario generation,2026-05-18,d1bf715,feat(pipeline): improve scenario generation and result exports,scripts/generate_base_scenarios.py
scenario_generation_export_refinement,Scenario generation and export refinement,2026-05-17,07d3211,feat(prompts): add generated prompt-pair pipeline,data/prompts/classification/hiring_screening.txt; data/prompts/decision_answering/candidate_comparison.txt; data/prompts/hiring_screening_classification.txt; data/prompts/recommendation/career_path_recommendation.txt; scripts/generate_base_scenarios.py; scripts/generate_prompt_pairs.py; src/prompts/generator.py
scenario_generation_export_refinement,Scenario generation and export refinement,2026-05-18,c992c29,feat(prompts): add remaining prompt-pair templates,data/prompts/classification/eligibility_classification.txt; data/prompts/classification/student_evaluation.txt; data/prompts/classification/ticket_priority_classification.txt; data/prompts/decision_answering/public_service_priority_decision.txt; data/prompts/decision_answering/scholarship_allocation.txt; data/prompts/decision_answering/ticket_escalation_decision.txt; data/prompts/recommendation/accessibility_accommodation_recommendation.txt; data/prompts/recommendation/course_recommendation.txt; data/prompts/recommendation/role_assignment_recommendation.txt
