run,model,task,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_lt_080,reasoning_similarity_lt_065
run1,llama,classification,195,0,0,0,0,0,0.0,0.05641025641025641,0.7949615384615384,0.8963,77,49
run1,llama,decision_answering,195,0,0,1,0,1,0.005128205128205128,0.06666666666666667,0.7896707692307692,0.831,88,48
run1,llama,recommendation,174,0,0,0,0,0,0.0,0.040229885057471264,0.6058959770114941,0.6432,121,87
run1,mistral,classification,195,1,0,0,0,1,0.005128205128205128,0.010256410256410256,0.7943225641025641,0.8589,80,48
run1,mistral,decision_answering,195,0,0,0,0,0,0.0,0.12307692307692308,0.8208451282051281,0.8618,72,39
run1,mistral,recommendation,174,0,0,0,0,0,0.0,0.08045977011494253,0.7575057471264368,0.8268500000000001,79,55
run1,qwen,classification,195,0,0,0,0,0,0.0,0.0,0.8063538461538462,0.8696,79,51
run1,qwen,decision_answering,195,0,0,3,0,3,0.015384615384615385,0.015384615384615385,0.7841420512820512,0.8257,91,58
run1,qwen,recommendation,174,0,4,0,4,4,0.022988505747126436,0.0,0.807782183908046,0.84255,73,36
run2,llama,classification,195,0,0,0,0,0,0.0,0.02564102564102564,0.8512661538461539,0.9221,65,28
run2,llama,decision_answering,195,0,0,11,0,11,0.05641025641025641,0.20512820512820512,0.7441128205128207,0.7544,105,62
run2,llama,recommendation,174,0,0,0,2,0,0.0,0.04597701149425287,0.5236091954022989,0.52365,139,116
run2,mistral,classification,195,1,0,0,0,1,0.005128205128205128,0.005128205128205128,0.8600994871794873,1.0,54,33
run2,mistral,decision_answering,195,0,0,1,0,1,0.005128205128205128,0.10256410256410256,0.8313235897435898,0.9258,70,41
run2,mistral,recommendation,174,0,0,0,0,0,0.0,0.06321839080459771,0.7019132183908046,0.6976,106,77
run2,qwen,classification,195,0,0,0,0,0,0.0,0.0,0.7406138461538461,0.766,103,69
run2,qwen,decision_answering,195,0,0,7,0,7,0.035897435897435895,0.06153846153846154,0.7726630769230769,0.796,98,60
run2,qwen,recommendation,174,0,0,0,0,0,0.0,0.0,0.7807126436781608,0.8258000000000001,76,51
