run,model,subtask,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_lt_080,reasoning_similarity_lt_065
run1,llama,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.6477733333333333,0.64005,20,15
run1,llama,candidate_comparison,51,0,0,1,0,1,0.0196078431372549,0.0784313725490196,0.8652901960784313,0.9508,18,6
run1,llama,career_path_recommendation,48,0,0,0,0,0,0.0,0.14583333333333334,0.4460208333333333,0.3721,40,35
run1,llama,course_recommendation,51,0,0,0,0,0,0.0,0.0,0.6120117647058824,0.6978,35,23
run1,llama,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.8513125,0.942,12,9
run1,llama,hiring_screening,57,0,0,0,0,0,0.0,0.12280701754385964,0.8632052631578947,0.9191,20,5
run1,llama,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.7544770833333333,0.8228,22,13
run1,llama,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.7415800000000001,0.7668,26,14
run1,llama,scholarship_allocation,57,0,0,0,0,0,0.0,0.15789473684210525,0.729822807017544,0.7789,32,21
run1,llama,student_evaluation,51,0,0,0,0,0,0.0,0.0784313725490196,0.7007019607843138,0.8025,25,20
run1,llama,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8215692307692307,0.8539,16,8
run1,llama,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.7491282051282051,0.7111,20,15
run1,mistral,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.1,0.7502866666666669,0.80215,14,10
run1,mistral,candidate_comparison,51,0,0,0,0,0,0.0,0.43137254901960786,0.7808882352941174,0.8169,24,13
run1,mistral,career_path_recommendation,48,0,0,0,0,0,0.0,0.0625,0.6711270833333334,0.64725,32,24
run1,mistral,course_recommendation,51,0,0,0,0,0,0.0,0.1568627450980392,0.8135058823529411,0.8676,16,8
run1,mistral,eligibility_classification,48,1,0,0,0,1,0.020833333333333332,0.0,0.7954354166666665,0.8337000000000001,18,10
run1,mistral,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.7172280701754385,0.7403,32,25
run1,mistral,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.87869375,0.9307,9,6
run1,mistral,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.790988888888889,0.8917,17,13
run1,mistral,scholarship_allocation,57,0,0,0,0,0,0.0,0.03508771929824561,0.7996491228070175,0.8019,24,14
run1,mistral,student_evaluation,51,0,0,0,0,0,0.0,0.0392156862745098,0.8026901960784313,0.8293,23,8
run1,mistral,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8328769230769232,0.8984,15,6
run1,mistral,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8946871794871795,1.0,7,5
run1,qwen,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.7202966666666666,0.70505,20,13
run1,qwen,candidate_comparison,51,0,0,0,0,0,0.0,0.0,0.7972941176470588,0.8302,20,14
run1,qwen,career_path_recommendation,48,0,0,0,0,0,0.0,0.0,0.8389666666666665,0.8731,16,5
run1,qwen,course_recommendation,51,0,4,0,4,4,0.0784313725490196,0.0,0.7855352941176471,0.8058,25,13
run1,qwen,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.7461104166666667,0.7875000000000001,25,14
run1,qwen,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.8286578947368421,0.9352,20,10
run1,qwen,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.8202875000000001,0.8685,20,9
run1,qwen,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.8580555555555557,0.8929,12,5
run1,qwen,scholarship_allocation,57,0,0,3,0,3,0.05263157894736842,0.05263157894736842,0.7088649122807018,0.7331,38,24
run1,qwen,student_evaluation,51,0,0,0,0,0,0.0,0.0,0.7681215686274508,0.7633,27,20
run1,qwen,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8324769230769231,0.9495,13,11
run1,qwen,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8978974358974359,1.0,7,7
run2,llama,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.5340933333333333,0.46245,26,19
run2,llama,candidate_comparison,51,0,0,5,0,5,0.09803921568627451,0.4117647058823529,0.6893117647058823,0.7126,34,21
run2,llama,career_path_recommendation,48,0,0,0,2,0,0.0,0.16666666666666666,0.45669583333333336,0.4053,42,36
run2,llama,course_recommendation,51,0,0,0,0,0,0.0,0.0,0.4589941176470589,0.4615,44,38
run2,llama,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.8832812499999999,0.985,15,6
run2,llama,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.7858456140350878,0.7955,31,13
run2,llama,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.8435041666666668,0.9521999999999999,18,9
run2,llama,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.6612244444444444,0.6476,27,23
run2,llama,scholarship_allocation,57,0,0,6,0,6,0.10526315789473684,0.3333333333333333,0.6469526315789473,0.6429,40,29
run2,llama,student_evaluation,51,0,0,0,0,0,0.0,0.09803921568627451,0.8818490196078431,0.9275,7,4
run2,llama,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.835451282051282,0.8283,13,3
run2,llama,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8674846153846155,0.9035,12,5
run2,mistral,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.7172166666666666,0.76015,17,10
run2,mistral,candidate_comparison,51,0,0,1,0,1,0.0196078431372549,0.21568627450980393,0.7518509803921569,0.835,25,19
run2,mistral,career_path_recommendation,48,0,0,0,0,0,0.0,0.020833333333333332,0.7480520833333334,0.6815500000000001,28,20
run2,mistral,course_recommendation,51,0,0,0,0,0,0.0,0.19607843137254902,0.5663274509803923,0.5183,40,35
run2,mistral,eligibility_classification,48,1,0,0,0,1,0.020833333333333332,0.0,0.90069375,1.0,7,3
run2,mistral,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.7951631578947367,0.9302,24,16
run2,mistral,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.9245749999999999,0.963,5,3
run2,mistral,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.79616,0.8333,21,12
run2,mistral,scholarship_allocation,57,0,0,0,0,0,0.0,0.15789473684210525,0.7979631578947368,0.7769,30,15
run2,mistral,student_evaluation,51,0,0,0,0,0,0.0,0.0196078431372549,0.8884470588235294,1.0,10,8
run2,mistral,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8692358974358974,0.9609,10,4
run2,mistral,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8679743589743589,1.0,13,6
run2,qwen,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.7909633333333334,0.85255,13,9
run2,qwen,candidate_comparison,51,0,0,7,0,7,0.13725490196078433,0.23529411764705882,0.6512745098039217,0.5935,37,30
run2,qwen,career_path_recommendation,48,0,0,0,0,0,0.0,0.0,0.7496354166666667,0.7475499999999999,29,13
run2,qwen,course_recommendation,51,0,0,0,0,0,0.0,0.0,0.7005999999999999,0.5978,29,27
run2,qwen,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.6945145833333334,0.725,28,22
run2,qwen,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.7429947368421052,0.8341,28,17
run2,qwen,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.7894708333333332,0.87355,20,15
run2,qwen,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.8978222222222223,0.9035,5,2
run2,qwen,scholarship_allocation,57,0,0,0,0,0,0.0,0.0,0.8114982456140352,0.7905,29,9
run2,qwen,student_evaluation,51,0,0,0,0,0,0.0,0.0,0.7125941176470587,0.7253,29,22
run2,qwen,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8539564102564103,0.839,12,6
run2,qwen,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8305128205128205,0.86,18,8
