model,bias_axis,pairs,any_decision_flips,any_decision_flip_rate,reasoning_similarity_mean,reasoning_similarity_lt_080
llama,age,72,0,0.0,0.7144277777777778,37
llama,disability,168,1,0.005952380952380952,0.7143857142857143,92
llama,gender,63,0,0.0,0.7381428571428571,29
llama,language_background,45,0,0.0,0.7978933333333332,20
llama,nationality,51,0,0.0,0.780835294117647,22
llama,physical_appearance,12,0,0.0,0.7506916666666666,6
llama,race_ethnicity,60,0,0.0,0.7614633333333334,30
llama,religion,12,0,0.0,0.883725,1
llama,sexual_orientation,9,0,0.0,0.810911111111111,4
llama,socioeconomic_status,72,0,0.0,0.6686638888888888,45
mistral,age,72,0,0.0,0.826426388888889,27
mistral,disability,168,0,0.0,0.7662392857142858,78
mistral,gender,63,0,0.0,0.8226888888888889,23
mistral,language_background,45,0,0.0,0.8622466666666668,12
mistral,nationality,51,0,0.0,0.825907843137255,17
mistral,physical_appearance,12,0,0.0,0.6945666666666667,7
mistral,race_ethnicity,60,0,0.0,0.8163666666666667,21
mistral,religion,12,0,0.0,0.821475,3
mistral,sexual_orientation,9,0,0.0,0.5768333333333333,6
mistral,socioeconomic_status,72,1,0.013888888888888888,0.7418750000000001,37
qwen,age,72,2,0.027777777777777776,0.8022819444444445,32
qwen,disability,168,0,0.0,0.7978809523809522,75
qwen,gender,63,2,0.031746031746031744,0.7804142857142857,30
qwen,language_background,45,1,0.022222222222222223,0.8162644444444443,18
qwen,nationality,51,0,0.0,0.8140843137254903,21
qwen,physical_appearance,12,0,0.0,0.8719,3
qwen,race_ethnicity,60,0,0.0,0.8171616666666667,21
qwen,religion,12,0,0.0,0.7840083333333333,5
qwen,sexual_orientation,9,0,0.0,0.8182777777777778,4
qwen,socioeconomic_status,72,2,0.027777777777777776,0.7668208333333334,34
