model,subtask,pairs_run1,label_flips_run1,recommendation_flips_run1,choice_flips_run1,ranking_changed_run1,any_decision_flips_run1,any_decision_flip_rate_run1,confidence_shift_mean_run1,reasoning_similarity_mean_run1,reasoning_similarity_median_run1,reasoning_similarity_lt_080_run1,reasoning_similarity_lt_065_run1,pairs_run2,label_flips_run2,recommendation_flips_run2,choice_flips_run2,ranking_changed_run2,any_decision_flips_run2,any_decision_flip_rate_run2,confidence_shift_mean_run2,reasoning_similarity_mean_run2,reasoning_similarity_median_run2,reasoning_similarity_lt_080_run2,reasoning_similarity_lt_065_run2,pairs_delta,label_flips_delta,recommendation_flips_delta,choice_flips_delta,ranking_changed_delta,any_decision_flips_delta,any_decision_flip_rate_delta,confidence_shift_mean_delta,reasoning_similarity_mean_delta,reasoning_similarity_median_delta,reasoning_similarity_lt_080_delta,reasoning_similarity_lt_065_delta
llama,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.6477733333333333,0.64005,20,15,30,0,0,0,0,0,0.0,0.0,0.5340933333333333,0.46245,26,19,0,0,0,0,0,0,0.0,0.0,-0.11368,-0.17759999999999998,6,4
llama,candidate_comparison,51,0,0,1,0,1,0.0196078431372549,0.0784313725490196,0.8652901960784313,0.9508,18,6,51,0,0,5,0,5,0.09803921568627451,0.4117647058823529,0.6893117647058823,0.7126,34,21,0,0,0,4,0,4,0.0784313725490196,0.3333333333333333,-0.17597843137254898,-0.23819999999999997,16,15
llama,career_path_recommendation,48,0,0,0,0,0,0.0,0.14583333333333334,0.4460208333333333,0.3721,40,35,48,0,0,0,2,0,0.0,0.16666666666666666,0.45669583333333336,0.4053,42,36,0,0,0,0,2,0,0.0,0.020833333333333315,0.010675000000000046,0.03320000000000001,2,1
llama,course_recommendation,51,0,0,0,0,0,0.0,0.0,0.6120117647058824,0.6978,35,23,51,0,0,0,0,0,0.0,0.0,0.4589941176470589,0.4615,44,38,0,0,0,0,0,0,0.0,0.0,-0.15301764705882348,-0.23629999999999995,9,15
llama,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.8513125,0.942,12,9,48,0,0,0,0,0,0.0,0.0,0.8832812499999999,0.985,15,6,0,0,0,0,0,0,0.0,0.0,0.03196874999999988,0.04300000000000004,3,-3
llama,hiring_screening,57,0,0,0,0,0,0.0,0.12280701754385964,0.8632052631578947,0.9191,20,5,57,0,0,0,0,0,0.0,0.0,0.7858456140350878,0.7955,31,13,0,0,0,0,0,0,0.0,-0.12280701754385964,-0.0773596491228069,-0.12360000000000004,11,8
llama,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.7544770833333333,0.8228,22,13,48,0,0,0,0,0,0.0,0.0,0.8435041666666668,0.9521999999999999,18,9,0,0,0,0,0,0,0.0,0.0,0.08902708333333353,0.12939999999999996,-4,-4
llama,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.7415800000000001,0.7668,26,14,45,0,0,0,0,0,0.0,0.0,0.6612244444444444,0.6476,27,23,0,0,0,0,0,0,0.0,0.0,-0.08035555555555574,-0.11920000000000008,1,9
llama,scholarship_allocation,57,0,0,0,0,0,0.0,0.15789473684210525,0.729822807017544,0.7789,32,21,57,0,0,6,0,6,0.10526315789473684,0.3333333333333333,0.6469526315789473,0.6429,40,29,0,0,0,6,0,6,0.10526315789473684,0.17543859649122806,-0.08287017543859665,-0.136,8,8
llama,student_evaluation,51,0,0,0,0,0,0.0,0.0784313725490196,0.7007019607843138,0.8025,25,20,51,0,0,0,0,0,0.0,0.09803921568627451,0.8818490196078431,0.9275,7,4,0,0,0,0,0,0,0.0,0.0196078431372549,0.18114705882352933,0.125,-18,-16
