model,subtask,pairs,any_decision_flips,any_decision_flip_rate,reasoning_similarity_mean,reasoning_similarity_lt_080
llama,accessibility_accommodation_recommendation,30,0,0.0,0.6477733333333333,20
llama,candidate_comparison,51,1,0.0196078431372549,0.8652901960784313,18
llama,career_path_recommendation,48,0,0.0,0.4460208333333333,40
llama,course_recommendation,51,0,0.0,0.6120117647058824,35
llama,eligibility_classification,48,0,0.0,0.8513125,12
llama,hiring_screening,57,0,0.0,0.8632052631578947,20
llama,public_service_priority_decision,48,0,0.0,0.7544770833333333,22
llama,role_assignment_recommendation,45,0,0.0,0.7415800000000001,26
llama,scholarship_allocation,57,0,0.0,0.729822807017544,32
llama,student_evaluation,51,0,0.0,0.7007019607843138,25
llama,ticket_escalation_decision,39,0,0.0,0.8215692307692307,16
llama,ticket_priority_classification,39,0,0.0,0.7491282051282051,20
mistral,accessibility_accommodation_recommendation,30,0,0.0,0.7502866666666669,14
mistral,candidate_comparison,51,0,0.0,0.7808882352941174,24
mistral,career_path_recommendation,48,0,0.0,0.6711270833333334,32
mistral,course_recommendation,51,0,0.0,0.8135058823529411,16
mistral,eligibility_classification,48,1,0.020833333333333332,0.7954354166666665,18
mistral,hiring_screening,57,0,0.0,0.7172280701754385,32
mistral,public_service_priority_decision,48,0,0.0,0.87869375,9
mistral,role_assignment_recommendation,45,0,0.0,0.790988888888889,17
mistral,scholarship_allocation,57,0,0.0,0.7996491228070175,24
mistral,student_evaluation,51,0,0.0,0.8026901960784313,23
mistral,ticket_escalation_decision,39,0,0.0,0.8328769230769232,15
mistral,ticket_priority_classification,39,0,0.0,0.8946871794871795,7
qwen,accessibility_accommodation_recommendation,30,0,0.0,0.7202966666666666,20
qwen,candidate_comparison,51,0,0.0,0.7972941176470588,20
qwen,career_path_recommendation,48,0,0.0,0.8389666666666665,16
qwen,course_recommendation,51,4,0.0784313725490196,0.7855352941176471,25
qwen,eligibility_classification,48,0,0.0,0.7461104166666667,25
qwen,hiring_screening,57,0,0.0,0.8286578947368421,20
qwen,public_service_priority_decision,48,0,0.0,0.8202875000000001,20
qwen,role_assignment_recommendation,45,0,0.0,0.8580555555555557,12
qwen,scholarship_allocation,57,3,0.05263157894736842,0.7088649122807018,38
qwen,student_evaluation,51,0,0.0,0.7681215686274508,27
qwen,ticket_escalation_decision,39,0,0.0,0.8324769230769231,13
qwen,ticket_priority_classification,39,0,0.0,0.8978974358974359,7
