run,model,bias_axis,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_lt_080,reasoning_similarity_lt_065
run1,llama,age,72,0,0,0,0,0,0.0,0.06944444444444445,0.7144277777777778,0.7915000000000001,37,25
run1,llama,disability,168,0,0,1,0,1,0.005952380952380952,0.03571428571428571,0.7143857142857143,0.7723500000000001,92,62
run1,llama,gender,63,0,0,0,0,0,0.0,0.047619047619047616,0.7381428571428571,0.8385,29,19
run1,llama,language_background,45,0,0,0,0,0,0.0,0.06666666666666667,0.7978933333333332,0.8367,20,12
run1,llama,nationality,51,0,0,0,0,0,0.0,0.0196078431372549,0.780835294117647,0.8521,22,12
run1,llama,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.7506916666666666,0.8066,6,4
run1,llama,race_ethnicity,60,0,0,0,0,0,0.0,0.06666666666666667,0.7614633333333334,0.7947,30,17
run1,llama,religion,12,0,0,0,0,0,0.0,0.08333333333333333,0.883725,0.86095,1,0
run1,llama,sexual_orientation,9,0,0,0,0,0,0.0,0.0,0.810911111111111,1.0,4,3
run1,llama,socioeconomic_status,72,0,0,0,0,0,0.0,0.1111111111111111,0.6686638888888888,0.6912,45,30
run1,mistral,age,72,0,0,0,0,0,0.0,0.08333333333333333,0.826426388888889,0.91475,27,14
run1,mistral,disability,168,0,0,0,0,0,0.0,0.023809523809523808,0.7662392857142858,0.81455,78,57
run1,mistral,gender,63,0,0,0,0,0,0.0,0.06349206349206349,0.8226888888888889,0.9215,23,13
run1,mistral,language_background,45,0,0,0,0,0,0.0,0.022222222222222223,0.8622466666666668,0.9172,12,3
run1,mistral,nationality,51,0,0,0,0,0,0.0,0.0392156862745098,0.825907843137255,0.8897,17,7
run1,mistral,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.6945666666666667,0.6399999999999999,7,6
run1,mistral,race_ethnicity,60,0,0,0,0,0,0.0,0.11666666666666667,0.8163666666666667,0.89915,21,12
run1,mistral,religion,12,0,0,0,0,0,0.0,0.16666666666666666,0.821475,0.85625,3,2
run1,mistral,sexual_orientation,9,0,0,0,0,0,0.0,0.2222222222222222,0.5768333333333333,0.5151,6,5
run1,mistral,socioeconomic_status,72,1,0,0,0,1,0.013888888888888888,0.16666666666666666,0.7418750000000001,0.7757499999999999,37,23
run1,qwen,age,72,0,1,1,1,2,0.027777777777777776,0.013888888888888888,0.8022819444444445,0.82145,32,17
run1,qwen,disability,168,0,0,0,0,0,0.0,0.0,0.7978809523809522,0.8435,75,44
run1,qwen,gender,63,0,0,2,0,2,0.031746031746031744,0.031746031746031744,0.7804142857142857,0.8252,30,19
run1,qwen,language_background,45,0,1,0,1,1,0.022222222222222223,0.0,0.8162644444444443,0.8687,18,8
run1,qwen,nationality,51,0,0,0,0,0,0.0,0.0,0.8140843137254903,0.8929,21,13
run1,qwen,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.8719,0.98055,3,3
run1,qwen,race_ethnicity,60,0,0,0,0,0,0.0,0.0,0.8171616666666667,0.8715999999999999,21,14
run1,qwen,religion,12,0,0,0,0,0,0.0,0.0,0.7840083333333333,0.8387,5,3
run1,qwen,sexual_orientation,9,0,0,0,0,0,0.0,0.0,0.8182777777777778,0.891,4,1
run1,qwen,socioeconomic_status,72,0,2,0,2,2,0.027777777777777776,0.0,0.7668208333333334,0.8168,34,23
run2,llama,age,72,0,0,2,0,2,0.027777777777777776,0.027777777777777776,0.7210263888888888,0.7304,40,29
run2,llama,disability,168,0,0,2,1,2,0.011904761904761904,0.13690476190476192,0.6994559523809524,0.7597,93,64
