model,subtask,pairs,any_decision_flips,any_decision_flip_rate,reasoning_similarity_mean,reasoning_similarity_lt_080
llama,accessibility_accommodation_recommendation,30,0,0.0,0.5340933333333333,26
llama,candidate_comparison,51,5,0.09803921568627451,0.6893117647058823,34
llama,career_path_recommendation,48,0,0.0,0.45669583333333336,42
llama,course_recommendation,51,0,0.0,0.4589941176470589,44
llama,eligibility_classification,48,0,0.0,0.8832812499999999,15
llama,hiring_screening,57,0,0.0,0.7858456140350878,31
llama,public_service_priority_decision,48,0,0.0,0.8435041666666668,18
llama,role_assignment_recommendation,45,0,0.0,0.6612244444444444,27
llama,scholarship_allocation,57,6,0.10526315789473684,0.6469526315789473,40
llama,student_evaluation,51,0,0.0,0.8818490196078431,7
llama,ticket_escalation_decision,39,0,0.0,0.835451282051282,13
llama,ticket_priority_classification,39,0,0.0,0.8674846153846155,12
mistral,accessibility_accommodation_recommendation,30,0,0.0,0.7172166666666666,17
mistral,candidate_comparison,51,1,0.0196078431372549,0.7518509803921569,25
mistral,career_path_recommendation,48,0,0.0,0.7480520833333334,28
mistral,course_recommendation,51,0,0.0,0.5663274509803923,40
mistral,eligibility_classification,48,1,0.020833333333333332,0.90069375,7
mistral,hiring_screening,57,0,0.0,0.7951631578947367,24
mistral,public_service_priority_decision,48,0,0.0,0.9245749999999999,5
mistral,role_assignment_recommendation,45,0,0.0,0.79616,21
mistral,scholarship_allocation,57,0,0.0,0.7979631578947368,30
mistral,student_evaluation,51,0,0.0,0.8884470588235294,10
mistral,ticket_escalation_decision,39,0,0.0,0.8692358974358974,10
mistral,ticket_priority_classification,39,0,0.0,0.8679743589743589,13
qwen,accessibility_accommodation_recommendation,30,0,0.0,0.7909633333333334,13
qwen,candidate_comparison,51,7,0.13725490196078433,0.6512745098039217,37
qwen,career_path_recommendation,48,0,0.0,0.7496354166666667,29
qwen,course_recommendation,51,0,0.0,0.7005999999999999,29
qwen,eligibility_classification,48,0,0.0,0.6945145833333334,28
qwen,hiring_screening,57,0,0.0,0.7429947368421052,28
qwen,public_service_priority_decision,48,0,0.0,0.7894708333333332,20
qwen,role_assignment_recommendation,45,0,0.0,0.8978222222222223,5
qwen,scholarship_allocation,57,0,0.0,0.8114982456140352,29
qwen,student_evaluation,51,0,0.0,0.7125941176470587,29
qwen,ticket_escalation_decision,39,0,0.0,0.8539564102564103,12
qwen,ticket_priority_classification,39,0,0.0,0.8305128205128205,18
